Team Name,Year,Blocked Shots Per Game,Scoring Margin,Three Pt FG Defense,Turnovers Per Game,Field-Goal Percentage,Won-Lost Percentage,Scoring Offense,Rebound Margin,Three-Point Field-Goal Percentage,Field-Goal Percentage Defense,Free-Throw Percentage,Assists Per Game,Turnover Margin,Scoring Defense,Three-Point Field Goals Per Game,Personal Fouls Per Game,Steals Per Game,Qualify Prediction,Probability Yes,Probability No
Kennesaw St.,2019,3.3,-15.7,35.9,14.4,37.1,14.3,60.3,-2.6,30.4,47.3,65.7,10.7,-2.4,76,4,3,5.5,No,0.0030611568,0.9969388432
Bradley,2019,3.7,1.7,35.2,13.9,44.3,57.1,69.4,-0.4,33.6,41.7,68.4,13,1.4,67.7,6.4,2,6.5,No,0.0028400168,0.9971599832
UTSA,2019,2.6,1.1,32.8,14.1,41.7,50,74.9,-0.4,31.6,42.3,73.5,11.1,0.8,73.8,7.8,4,7.6,No,0.0025293728,0.9974706272
Navy,2019,1.5,-9.8,33.9,13.8,38,33.3,63.8,0.5,31.3,44.3,76.2,12,-2.4,73.6,6.5,2,4.9,No,0.0024079211,0.9975920789
Binghamton,2019,6.2,-5.2,37.2,12.6,42.6,26.7,66.9,-6.1,32.6,43.1,62.2,10.3,-0.5,72.1,7.4,6,5.1,No,0.0023809524,0.9976190476
A&M-Corpus Christi,2019,3.3,2.4,32.4,13.2,41.3,42.9,68.6,5.3,30.6,40.1,67.5,13.6,1.6,66.2,6.5,4,6.6,No,0.0017156841,0.9982843159
Stetson,2019,3.7,-8.8,37.4,14.6,40.8,26.7,71.3,-3,30.3,47.5,70.7,14.6,0.1,80.1,7.1,3,7.1,No,0.0016248058,0.9983751942
Texas Southern,2019,3.2,-6.8,37.2,14.1,41.6,38.5,76.3,-4.7,29.7,47.7,66.4,15.5,2,83.2,7.8,6,7.6,No,0.0016248058,0.9983751942
Evansville,2019,3,0.9,31.8,12.7,42.8,50,75.3,-4.4,33.3,42,74.5,13,0.9,74.4,7.8,2,6.1,No,0.0015192718,0.9984807282
UT Martin,2019,2.8,-3.2,36.5,13.1,43.8,41.7,78.3,-3.3,32.1,48.9,71.2,16.6,1.4,81.5,8.1,2,8.4,No,0.0013683956,0.9986316044
Howard,2019,4.4,-0.9,35.5,12.3,42.6,42.9,81.6,-2.8,32,44.2,70.4,14.1,2.8,82.6,6.9,2,6.8,No,0.0013683956,0.9986316044
Montana St.,2019,1.5,-7.5,37.2,15.1,43.9,38.5,74.3,0.2,35.9,48.5,69.6,14.2,-3.2,81.8,9.2,9,4.6,No,0.0013683956,0.9986316044
UNCW,2019,2,-4.5,38.1,15.9,45.1,33.3,76.9,5.1,35.5,46.6,72.1,15.5,-5,81.4,8.4,3,4.7,No,0.0013683956,0.9986316044
UTEP,2019,2.5,-1.5,33.5,16.8,43.8,41.7,68.3,2.2,33.5,42.3,63.5,11.8,-2.7,69.8,6.3,6,4.9,No,0.0013371224,0.9986628776
Portland,2019,4.2,-2.7,35.8,12.5,43.8,46.7,71.5,-4.6,34.7,42.1,67.8,12.9,-0.6,74.2,7.3,0,5.7,No,0.0012615366,0.9987384634
Fairfield,2019,1.5,-4.8,36.4,13,43.9,23.1,71.9,-6.8,38.1,47.8,72.5,13.2,0.8,76.7,9.7,7,5.7,No,0.0006472417,0.9993527583
Maine,2019,3.3,-9.5,37.3,15.5,43.6,13.3,62.5,-3,28.1,44.1,64.7,14.4,-2.1,72,5.9,8,7.7,No,0.0005831392,0.9994168608
Florida A&amp,2019,2.3,-10.2,32.9,14.7,42.2,20,60.3,-6.3,38.3,46.3,62.9,11.5,0.3,70.5,6.1,2,7.9,No,0.0004230673,0.9995769327
Tulane,2019,3.4,-6.7,33.2,14.6,42.7,28.6,67.9,-3.2,34.5,42.7,64.9,13.4,-3.4,74.6,7,6,4.9,No,0.0004023147,0.9995976853
Chattanooga,2019,2.6,1.7,33.1,13.2,44.6,43.8,73.1,-1,37.4,43.8,68.8,13.3,-0.1,71.4,9,4,4.6,No,0.0004023147,0.9995976853
Southeastern La.,2019,2.7,-8.3,33.5,17.4,40.9,28.6,60.8,-2.9,30.1,44.3,61.9,12.6,-1.4,69.1,6.1,8,7.4,No,0.0003589648,0.9996410352
Jackson St.,2019,3.4,-10.4,32.5,15.2,39.8,23.1,61.6,-0.5,25.5,42.8,62.4,11.1,-0.7,72,4.8,6,6.5,No,0.0003589648,0.9996410352
UT Arlington,2019,2.6,-6.9,28.1,15.9,38.3,28.6,64,0.9,24.4,44.6,72.5,10.6,-1.3,70.9,5.8,3,7.4,No,0.0003589648,0.9996410352
Bryant,2019,2.6,-11.8,43.6,12.3,39.2,33.3,68.4,-6.1,28.4,50.1,72.4,11.2,1.3,80.3,7.8,1,5.4,No,0.0003474815,0.9996525185
Southern U.,2019,2.2,-17.2,39.4,16.3,42.8,7.7,66.7,-5.9,34.7,51.9,69.5,10.5,-1.8,83.8,6,9,6.5,No,0.0003474815,0.9996525185
Morgan St.,2019,2,-7.5,33.4,12.9,39,38.5,70.8,-5.8,30.5,46.2,75,11.8,4.1,78.2,5.2,2,8.2,No,0.0003474815,0.9996525185
Delaware St.,2019,1.9,-17.4,36.3,15.8,35.4,23.1,64.2,-7.2,32.8,46.1,68.8,11.4,-0.7,81.5,8.7,3,7.1,No,0.0003474815,0.9996525185
George Washington,2019,3.3,-7.8,37.7,12.8,40.9,30.8,64,-6.5,31.8,44.2,61.9,10.7,0.6,71.8,5.9,1,5.9,No,0.0003474815,0.9996525185
UMES,2019,1.9,-19.4,37.2,13.3,36.9,13.3,55.4,-10.3,26.8,46.9,65,10.3,0.1,74.8,5.3,7,6.9,No,0.0003474815,0.9996525185
Illinois,2019,2.3,-0.9,33.3,14.8,42.6,28.6,73.9,-3.8,35.4,46.4,67.2,14.5,3.3,74.9,9.2,0,7.7,No,0.0003267289,0.9996732711
Wright St.,2019,1.9,2.8,40.1,11.8,42.3,43.8,71.9,2,36,46,72.2,13.8,2.3,69.1,9,2,5.6,No,0.0003267289,0.9996732711
Rice,2019,3.2,-4.5,35.4,13.3,43.9,40,75.6,-0.7,33.3,46.5,69.1,13.7,-2,80.1,8.7,1,5.2,No,0.0003267289,0.9996732711
Lafayette,2019,3,-4.4,39.6,14.3,44.2,25,74.4,1.4,34.7,44.8,75.3,13.6,-3.5,78.8,8.7,1,4.5,No,0.0003267289,0.9996732711
Columbia,2019,2.2,0.7,37.7,13.2,44.8,30.8,74.5,0.1,37.1,44.2,73.8,18,1.4,73.8,9.5,1,8.2,No,0.0003267289,0.9996732711
VMI,2019,1.8,-1.5,35.5,12.1,41.5,42.9,76,-4.1,34.4,44.6,74.5,13.9,1.4,77.5,10.1,2,6.7,No,0.0003267289,0.9996732711
Tennessee Tech,2019,4.6,-8.5,34.9,16.5,43.5,35.7,71.6,-3.8,33.1,45.4,59.5,13.4,-0.6,80.1,6.6,2,8.1,No,0.0003267289,0.9996732711
Central Ark.,2019,3.4,-4.9,33.2,15.4,42.4,35.7,70.9,-3.3,36.6,44.8,71.7,14.1,-1.4,75.9,8.6,3,5.8,No,0.0003267289,0.9996732711
Sam Houston St.,2019,2.5,1.8,33.7,12.2,41.5,38.5,71.7,2.9,33,43.3,70.1,15.5,3.3,69.9,8.5,7,7,No,0.0003267289,0.9996732711
Robert Morris,2019,3.3,1.5,33.1,15.4,44,42.9,70.4,-2.1,36.9,43.8,68.8,15.4,1.1,68.9,8.6,1,7.8,No,0.0003267289,0.9996732711
Stanford,2019,4.4,-0.5,29.7,15.5,43.8,53.8,73,-1,33,43.6,67.1,12.3,-2.3,73.5,7.5,1,6.3,No,0.0002847039,0.9997152961
Penn St.,2019,3.4,2.9,32.9,13.2,41.7,50,69.3,2.4,32.1,44.3,67.7,12.1,1.4,66.4,7.3,2,8.2,No,0.0002847039,0.9997152961
Charlotte,2019,4.1,-10.8,34.3,14.8,39.7,25,57.3,-2.7,27.2,44,76.8,8.7,-2.8,68.1,5.2,5,4.3,No,0.000283379,0.999716621
SIUE,2019,2.1,-4.7,39.6,13.8,43.8,38.5,75.5,-0.6,29.1,50.4,64.7,11.7,2.8,80.2,6.3,0,7.2,No,0.000283379,0.999716621
South Carolina St.,2019,1.8,-10.1,37.4,14.6,42.4,12.5,67.1,1.1,28.6,48.6,72.4,10.4,-1.5,77.2,4.3,4,5.3,No,0.000283379,0.999716621
Mississippi Val.,2019,1.7,-21.1,41.2,12.8,37.2,14.3,63.2,-5.2,29.4,49.1,68.7,10.4,-1.3,84.3,4.6,0,5.5,No,0.000283379,0.999716621
Canisius,2019,2.8,-8.3,36.5,13.5,40.5,33.3,67.6,-5.3,28.9,47.8,67.8,12.8,2,75.8,7.3,1,7.1,No,0.000283379,0.999716621
UC Davis,2019,1.9,-8.6,34,15.2,40.7,23.1,60.8,-4.2,29.8,46.3,69.3,11.3,-0.6,69.4,6.7,5,6,No,0.000283379,0.999716621
Coppin St.,2019,3.2,-23.4,39.4,16.6,35.6,0,57.1,-3.3,24.9,46.7,62.8,8.9,-6.3,80.5,6.4,5,4.3,No,0.000283379,0.999716621
Middle Tenn.,2019,3.5,-10.5,36.5,18.4,41.1,21.4,65.9,2.4,29.9,44.1,67.8,9.6,-4.8,76.4,4.9,2,6.7,No,0.000283379,0.999716621
Northwestern St.,2019,4.1,-8.8,34.9,16,38.6,35.7,66.4,-3.4,28.6,44.2,65.3,10.4,-0.7,75.1,6.4,2,7,No,0.000283379,0.999716621
Mt. St. Mary's,2019,3.1,-9.6,36.4,14.6,39.8,21.4,67.5,-0.9,29,46.8,65.7,11.1,-1.6,77.1,7.2,4,5.5,No,0.000283379,0.999716621
Prairie View,2019,1.4,-11,34.5,14.2,41.2,15.4,69.3,-5.5,28.5,49.4,68.8,10.1,2.9,80.3,5.4,5,8,No,0.000283379,0.999716621
Eastern Mich.,2019,4.4,-1.4,35.1,14.4,43.8,42.9,69.7,3.6,26.3,44.2,61.8,12.7,0.1,71.1,5.6,2,8,No,0.000283379,0.999716621
Monmouth,2019,2.6,-15.9,39,15.4,39,7.1,61.8,-3.4,27.1,45.5,68.5,10.4,-0.9,77.6,4.8,1,6.6,No,0.000283379,0.999716621
Chicago St.,2019,2.1,-21.9,36.7,17.2,41.5,20,64.9,-5.1,27.4,48.3,67.6,12.3,-4.4,86.9,4.3,3,6.8,No,0.000283379,0.999716621
Quinnipiac,2019,1.9,-1.5,36.9,13.3,40,50,67.9,-1.6,33.8,44.7,65.9,11.7,0.4,69.4,9.6,3,6.2,No,0.0002091181,0.9997908819
Niagara,2019,4.6,-1.6,36.9,11.7,39.3,53.8,71.8,-0.5,31.1,43.3,74.5,11.5,0.9,73.5,7.2,2,4,No,0.0002091181,0.9997908819
Saint Joseph's,2019,3.1,0.5,37.9,9.2,42.6,53.8,73.2,-1.9,35,43.1,73.2,11.7,2.1,72.7,8.8,0,5.6,No,0.0001821494,0.9998178506
Milwaukee,2019,2.9,-3.9,33.1,12.1,41.7,40,71.9,-1.5,33.5,43.1,77.7,11.3,-1.2,75.8,8,4,4.6,No,0.0001025545,0.9998974455
James Madison,2019,3.4,-1.5,33.3,14.4,42.8,43.8,70.1,2.1,34.8,44,70.2,12.4,-1.4,71.6,7.3,7,7.3,No,0.0001025545,0.9998974455
Alcorn,2019,2.7,-2.8,31,15.3,41.1,33.3,67.6,-1.4,33.4,44.4,68.1,13.3,0.2,70.4,8.3,2,8.6,No,0.0001025545,0.9998974455
South Dakota,2019,2.3,0.3,32.3,11.7,43.3,46.7,66,-1.4,32.1,43.5,69.4,12.1,1.5,65.7,6.4,7,6,No,0.0001025545,0.9998974455
