Team Name,Year,Blocked Shots Per Game,Scoring Margin,Three Pt FG Defense,Turnovers Per Game,Field-Goal Percentage,Won-Lost Percentage,Scoring Offense,Rebound Margin,Three-Point Field-Goal Percentage,Field-Goal Percentage Defense,Free-Throw Percentage,Assists Per Game,Turnover Margin,Scoring Defense,Three-Point Field Goals Per Game,Personal Fouls Per Game,Steals Per Game,Qualify Prediction,Probability Yes,Probability No
Georgia,2019,6.3,8.7,29.9,16.7,47.7,66.7,79.2,8.2,34.6,38.1,73.8,15.1,-4.6,70.5,6.8,2,5.8,Yes,0.5011509753,0.4988490247
Gardner-Webb,2019,3.3,15.9,30.3,12,49.5,66.7,82.9,2.4,39.2,39.2,72,16.1,4.5,67.1,8,3,8.4,No,0.4941727283,0.5058272717
Ole Miss,2019,4.3,13.3,34.9,13.3,50.7,83.3,79.4,7.5,38.6,41.2,75.7,16.5,1.5,66.1,7.9,2,7.6,No,0.4827278879,0.5172721121
Ohio St.,2019,3.2,16.1,29.3,12.3,48,92.3,78,4.5,37.4,38.2,72.2,16.2,1.2,61.9,7.6,0,5.1,No,0.4820193219,0.5179806781
LSU,2019,5,10.7,35.8,14.3,49,76.9,80.7,4.4,33.1,42,73.5,14.5,1.8,70,7.2,1,10,No,0.4809796356,0.5190203644
Nebraska,2019,4.9,20.6,27,10.6,47.4,78.6,79.6,1.6,37.8,38.1,72.7,14.7,4.8,59,8.9,1,8.5,No,0.4788053561,0.5211946439
Virginia Tech,2019,2.7,24.2,32.1,11.5,51.8,92.3,81.5,4.5,45.3,39.2,72.8,18,4.8,57.3,11.2,1,7.5,No,0.4738760925,0.5261239075
Michigan St.,2019,5.7,19.7,32.5,12.9,50.7,85.7,87.1,12,40.8,36.9,70.5,21.8,-2.3,67.4,9.1,0,5.5,No,0.4708270533,0.5291729467
Clemson,2019,4.3,9.4,38.2,14.3,48.9,76.9,75.3,6.4,31.6,42.3,73.4,12.3,0.7,65.9,6.5,3,7.1,No,0.4696604574,0.5303395426
Notre Dame,2019,5.9,8.5,33.2,9.4,42.5,71.4,76.6,2,34.7,41.5,74,14.4,2.9,68.1,9.1,0,5.8,No,0.468107025,0.531892975
St. John's (NY),2019,2.8,13.6,33.5,10.9,48.6,92.9,83.9,-1.5,40.2,41.4,71.1,15.9,5.6,70.3,9.9,6,9.1,No,0.4677594192,0.5322405808
Nevada,2019,4.4,16,30.8,9.7,46.3,100,82,2.1,34.4,39.3,74.5,15.6,3.6,66,8.6,5,5.7,No,0.4652907605,0.5347092395
Memphis,2019,3.6,8.1,35.1,15.9,46.7,64.3,85.1,4.5,34,44.4,70.4,16.4,2.6,77,7.3,1,9.3,No,0.4647024913,0.5352975087
